CURRENCY,BASE,VALID_FROM,VALID_TO,RATE
MXN,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,21.9337
GBP,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,0.8377
CHF,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,0.9547
NOK,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,11.4010
RUB,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,117.2010
ALL,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,98.5750
MKD,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,61.4600
RSD,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,117.2100
PLN,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,4.2023
MXN,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,21.9337
RON,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,4.9770
BGN,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,1.9558
ALL,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,99.1100
RUB,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,117.2010
CLP,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,1007.8950
GBP,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,0.8377
INR,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,93.1400
TRY,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,41.1528
UAH,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,44.9326
CHF,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,0.9547
BRL,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,6.1911
USD,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,1.0827
HUF,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,399.0800
DKK,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,7.4596
CAD,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,1.5551
MKD,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,61.4350
HRK,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,7.5345
PEN,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,3.9286
NOK,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,11.4010
CZK,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,24.9810
SEK,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,10.9330
BAM,EUR,2025-03-22 00:00:01.000 +0100,2025-03-23 00:00:01.000 +0100,1.9608
BGN,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,1.9558
USD,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,1.0833
RON,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,4.9769
MKD,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,61.6650
ALL,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,98.9950
GBP,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,0.8369
INR,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,93.5510
NOK,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,11.5025
PLN,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,4.2003
SEK,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,11.0295
MXN,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,21.8986
TRY,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,41.1641
BRL,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,6.1272
DKK,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,7.4594
CAD,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,1.5592
RUB,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,117.2010
BAM,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,1.9609
HRK,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,7.5345
CZK,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,25.0130
UAH,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,45.0668
PEN,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,3.9294
HUF,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,399.6800
RSD,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,117.2100
CLP,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,1007.1550
CHF,EUR,2025-03-21 00:00:01.000 +0100,2025-03-22 00:00:01.000 +0100,0.9564
INR,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,94.0605
TRY,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,41.3997
CHF,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,0.9583
MKD,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,61.4550
ALL,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,99.2100
BRL,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,6.1929
CLP,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,998.0100
RUB,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,117.2010
RON,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,4.9773
BGN,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,1.9558
PLN,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,4.1885
CAD,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,1.5606
HUF,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,398.2300
PEN,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,3.9379
GBP,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,0.8408
DKK,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,7.4592
BAM,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,1.9609
CZK,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,24.9940
MXN,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,21.7258
NOK,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,11.5050
RSD,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,117.2350
SEK,EUR,2025-03-20 00:00:01.000 +0100,2025-03-21 00:00:01.000 +0100,11.0025
